Engine Size(L),Cylinders,Fuel Type,CO2 Emissions(g/km)
2.0,4,Z,196
2.4,4,Z,221
1.5,4,Z,136
3.5,6,Z,255
3.5,6,Z,244
3.5,6,Z,230
3.5,6,Z,232
3.7,6,Z,255
3.7,6,Z,267
2.4,4,Z,212
2.4,4,Z,225
3.5,6,Z,239
1.8,4,Z,193
5.9,12,Z,359
4.7,8,Z,338
4.7,8,Z,354
2.0,4,Z,202
2.0,4,Z,230
2.0,4,Z,214
2.0,4,Z,235
3.0,6,Z,251
3.0,6,D,217
3.0,6,Z,262
3.0,6,Z,258
4.0,8,Z,265
3.0,6,D,224
4.0,8,Z,288
6.3,12,Z,363
2.0,4,Z,242
2.0,4,Z,239
3.0,6,D,244
2.0,4,Z,212
3.0,6,Z,304
3.0,6,D,290
4.2,8,Z,336
4.2,8,Z,407
5.2,10,Z,347
5.2,10,Z,409
4.2,8,Z,306
4.2,8,Z,308
4.0,8,Z,293
3.0,6,Z,285
3.0,6,Z,267
4.0,8,Z,281
4.0,8,Z,300
3.0,6,Z,292
2.0,4,Z,209
2.0,4,Z,237
4.0,8,Z,314
6.0,12,Z,356
4.0,8,Z,332
6.0,12,Z,380
6.0,12,Z,388
6.8,8,Z,437
2.0,4,Z,193
2.0,4,Z,200
2.0,4,D,181
3.0,6,Z,221
3.0,6,Z,230
3.0,6,Z,228
3.0,6,Z,237
3.0,6,Z,232
3.0,6,D,213
3.0,6,Z,246
4.4,8,Z,281
4.4,8,Z,292
3.0,6,Z,191
3.0,6,Z,214
3.0,6,Z,212
4.4,8,Z,338
4.4,8,Z,317
3.0,6,Z,260
3.0,6,Z,253
3.0,6,Z,255
4.4,8,Z,320
4.4,8,Z,370
3.0,6,Z,274
4.4,8,Z,324
3.0,6,Z,278
3.6,6,X,283
3.6,6,X,290
1.4,4,X,196
1.4,4,X,212
3.6,6,X,264
3.6,6,E,250
3.6,6,E,264
2.4,4,X,189
2.0,4,Z,228
2.0,4,Z,225
2.0,4,Z,246
2.4,4,X,218
2.0,4,Z,221
2.5,4,X,207
3.6,6,X,251
2.0,4,Z,232
3.6,6,X,260
3.6,6,X,258
3.6,6,X,262
3.6,6,X,248
2.0,4,Z,248
3.6,6,Z,294
3.0,6,X,253
3.0,6,X,255
6.2,8,Z,382
6.2,8,Z,340
6.2,8,Z,338
6.2,8,E,322
6.2,8,Z,377
6.2,8,E,354
3.6,6,X,294
3.6,6,X,271
3.6,6,Z,290
3.6,6,X,269
3.6,6,X,242
6.2,8,Z,294
6.2,8,Z,292
6.2,8,Z,276
6.2,8,Z,258
1.4,4,X,179
1.8,4,X,202
1.8,4,X,189
2.0,4,D,192
1.4,4,X,177
1.4,4,X,163
2.4,4,X,209
3.6,6,X,276
3.6,6,E,259
2.4,4,X,230
3.6,6,E,272
4.3,6,X,347
5.3,8,X,366
5.3,8,E,334
5.3,8,X,380
5.3,8,E,344
5.3,8,E,362
4.8,8,X,414
6.0,8,X,432
6.0,8,E,411
4.8,8,X,419
6.0,8,X,435
6.0,8,E,413
2.5,4,X,221
3.6,6,X,244
3.6,6,E,229
2.4,4,X,200
2.5,4,X,184
2.4,4,X,244
2.4,4,X,235
4.3,6,X,271
4.3,6,E,269
5.3,8,X,292
5.3,8,E,270
6.2,8,Z,324
4.3,6,X,290
4.3,6,E,285
5.3,8,X,299
5.3,8,E,277
6.2,8,Z,329
1.4,4,X,184
1.4,4,X,173
1.8,4,X,191
1.8,4,X,182
1.4,4,X,191
1.4,4,X,172
1.2,4,X,159
5.3,8,X,317
5.3,8,E,294
1.4,4,X,193
1.4,4,X,186
1.4,4,X,207
3.6,6,X,237
2.4,4,X,232
2.4,4,X,246
3.6,6,E,230
2.4,4,X,225
5.7,8,X,294
5.7,8,X,308
3.6,6,E,237
3.6,6,E,222
6.4,8,Z,317
3.6,6,E,269
5.7,8,X,301
6.4,8,Z,320
3.6,6,E,251
3.6,6,X,235
2.0,4,X,186
2.4,4,X,198
2.4,4,X,202
2.0,4,X,198
2.0,4,E,195
2.4,4,X,212
1.4,4,X,168
5.7,8,X,331
3.6,6,X,278
2.4,4,X,255
3.6,6,X,285
1.4,4,X,182
1.4,4,X,166
1.4,4,X,156
1.4,4,X,200
2.0,4,X,138
4.6,8,X,373
4.6,8,E,350
5.4,8,X,396
5.4,8,E,360
4.6,8,X,386
4.6,8,E,368
6.8,10,X,488
5.4,8,X,421
5.4,8,E,382
2.0,4,X,225
3.5,6,X,248
3.5,6,X,264
3.7,6,X,281
1.6,4,X,209
2.0,4,X,221
2.5,4,X,216
1.6,4,X,214
2.0,4,X,230
5.4,8,X,368
5.4,8,E,346
2.0,4,X,235
3.5,6,X,299
3.5,6,X,274
3.5,6,E,254
3.5,6,X,288
3.5,6,E,267
3.5,6,X,292
3.5,6,X,294
6.2,8,X,366
3.5,6,X,317
3.5,6,X,308
6.2,8,X,402
3.7,6,X,283
3.7,6,E,264
5.0,8,X,336
5.0,8,E,315
3.7,6,X,308
3.7,6,E,288
5.0,8,X,343
5.0,8,E,320
5.0,8,X,340
5.0,8,E,318
6.2,8,X,414
1.6,4,X,175
1.0,4,X,152
1.6,4,X,161
1.6,4,X,184
3.5,6,X,278
2.0,4,X,205
2.0,4,X,177
2.0,4,E,165
2.0,4,X,179
2.0,4,X,184
2.0,4,E,170
2.0,4,X,166
2.0,4,E,162
1.5,4,X,196
1.6,4,X,186
2.0,4,X,207
2.5,4,X,205
1.5,4,X,186
2.0,4,X,216
2.0,4,X,126
3.7,6,X,235
3.7,6,X,244
5.0,8,X,264
5.0,8,X,292
5.8,8,Z,304
2.0,4,X,209
3.5,6,X,271
3.5,6,X,237
3.5,6,E,229
3.5,6,X,258
3.5,6,E,251
1.6,4,X,218
2.5,4,X,228
1.6,4,X,232
2.5,4,X,239
3.6,6,X,297
2.4,4,X,182
2.4,4,X,186
3.5,6,X,209
3.5,6,X,221
3.5,6,X,251
2.0,4,X,110
1.8,4,X,161
1.8,4,X,166
1.8,4,X,175
3.5,6,X,246
2.4,4,X,216
1.5,4,X,145
1.5,4,X,159
1.5,4,X,172
1.5,4,X,177
3.5,6,X,244
3.5,6,X,265
3.5,6,X,276
1.6,4,X,177
2.0,4,X,196
5.0,8,Z,304
3.8,6,X,255
3.3,6,X,258
3.3,6,X,267
2.4,4,X,237
2.0,4,X,264
2.4,4,X,196
2.4,4,X,143
2.4,4,X,145
2.0,4,X,214
2.0,4,X,232
2.0,4,X,242
1.6,4,X,202
1.6,4,X,196
3.7,6,Z,235
3.7,6,Z,248
3.5,6,Z,172
3.5,6,Z,189
3.7,6,Z,265
3.7,6,Z,269
3.7,6,Z,283
3.7,6,Z,253
5.6,8,Z,283
5.6,8,Z,294
3.5,6,Z,175
3.7,6,Z,271
3.5,6,Z,253
2.5,4,X,196
3.7,6,Z,294
5.0,8,Z,334
5.6,8,Z,345
3.0,6,Z,244
5.0,8,Z,294
3.0,6,Z,281
5.0,8,Z,306
5.0,8,E,290
5.0,8,E,280
5.0,8,Z,301
5.0,8,Z,290
5.0,8,Z,315
5.0,8,Z,310
3.2,6,X,242
3.2,6,X,248
3.2,6,X,253
2.4,4,X,251
3.2,6,X,267
2.0,4,X,228
5.7,8,X,340
3.0,6,D,267
6.4,8,Z,363
3.6,6,X,308
3.3,6,X,251
1.8,4,X,184
2.0,4,X,193
1.6,4,X,223
1.6,4,X,225
1.6,4,X,216
1.6,4,X,221
2.4,4,X,147
2.0,4,X,212
3.3,6,X,262
2.4,4,X,253
3.3,6,X,271
1.6,4,X,205
1.6,4,X,207
2.0,4,X,202
2.4,4,X,260
2.0,4,X,262
6.5,12,Z,421
5.2,10,Z,361
5.2,10,Z,400
2.0,4,Z,274
3.0,6,Z,334
5.0,8,Z,354
5.0,8,Z,347
5.0,8,E,342
3.0,6,E,278
5.0,8,Z,345
5.0,8,Z,338
5.0,8,E,331
3.0,6,Z,283
3.0,6,E,277
1.8,4,X,129
2.5,4,X,138
4.6,8,Z,320
2.5,6,Z,223
2.5,6,Z,239
4.6,8,Z,283
4.6,8,Z,297
5.0,8,Z,262
5.7,8,Z,380
3.5,6,X,269
3.5,6,X,255
3.7,6,X,260
3.7,6,X,262
2.0,4,X,145
4.7,8,Z,347
4.7,8,Z,352
3.8,8,Z,334
3.0,6,Z,301
2.0,4,X,189
2.5,4,X,198
3.7,6,X,290
1.5,4,X,170
2.0,4,X,159
2.0,4,X,161
2.5,4,X,170
2.5,4,X,168
2.0,4,X,163
2.5,4,X,177
2.5,4,X,223
2.5,4,X,225
2.5,4,X,175
2.5,4,X,186
2.0,4,Z,184
1.8,4,Z,216
3.5,6,Z,242
3.5,6,E,224
6.2,8,Z,347
6.2,8,Z,352
4.7,8,Z,304
5.5,8,Z,308
2.0,4,Z,179
4.7,8,Z,264
5.5,8,Z,301
2.1,4,D,194
3.5,6,Z,235
3.5,6,Z,202
4.7,8,Z,267
4.7,8,Z,269
4.7,8,Z,262
5.5,8,Z,297
5.5,8,Z,310
5.5,8,Z,419
5.5,8,Z,407
3.0,6,D,324
4.7,8,Z,350
4.7,8,Z,359
5.5,8,Z,363
2.1,4,D,230
3.5,6,Z,260
3.5,6,Z,278
3.5,6,E,256
3.0,6,D,278
4.7,8,Z,327
5.5,8,Z,356
4.7,8,Z,278
4.7,8,Z,276
5.5,8,Z,304
5.5,8,Z,292
6.0,8,Z,327
1.8,4,Z,205
1.8,4,Z,207
3.5,6,Z,225
5.5,8,Z,246
6.2,8,Z,380
6.2,8,Z,361
1.6,4,Z,179
1.6,4,Z,200
1.6,4,Z,175
1.6,4,Z,168
1.6,4,Z,191
1.6,4,Z,184
1.6,4,Z,207
1.6,4,Z,196
2.0,4,X,191
2.0,4,Z,288
2.0,4,Z,283
2.0,4,Z,267
1.2,3,X,138
1.2,3,X,147
3.0,6,Z,235
2.0,4,X,200
3.7,6,Z,264
3.7,6,Z,262
3.5,6,X,214
5.6,8,X,380
2.5,4,X,283
2.5,4,X,260
4.0,6,X,292
4.0,6,X,315
4.0,6,X,301
3.8,6,Z,297
1.6,4,Z,186
1.6,4,Z,198
3.5,6,Z,251
3.5,6,X,253
2.5,4,X,202
2.5,4,X,191
1.8,4,X,179
5.6,8,X,359
5.6,8,X,398
1.6,4,X,152
4.0,6,X,327
3.4,6,Z,232
3.4,6,Z,246
3.4,6,Z,237
3.4,6,Z,242
3.4,6,Z,253
3.8,6,Z,248
3.8,6,Z,253
3.8,6,Z,258
3.8,6,Z,244
3.8,6,Z,246
3.8,6,Z,251
3.8,6,Z,322
3.8,6,Z,274
2.7,6,Z,212
2.7,6,Z,228
3.4,6,Z,225
3.4,6,Z,239
3.6,6,Z,313
3.0,6,D,277
4.8,8,Z,338
4.8,8,Z,310
4.8,8,Z,326
4.8,8,Z,358
3.6,6,Z,251
3.6,6,Z,255
3.0,6,Z,264
4.8,8,Z,292
4.8,8,Z,294
4.8,8,Z,297
5.7,8,X,313
5.7,8,X,354
5.7,8,X,324
3.0,6,D,286
3.6,6,E,285
3.0,6,D,275
3.6,6,X,274
3.6,6,E,254
6.6,12,Z,368
6.7,12,Z,393
6.6,12,Z,359
2.0,4,Z,218
1.3,4,X,143
2.4,4,X,228
1.0,3,Z,147
8.4,10,Z,389
2.5,4,Z,258
2.5,4,Z,288
3.6,6,X,267
3.6,6,X,301
4.0,6,X,297
2.5,4,X,189
2.5,4,X,131
1.8,4,X,177
1.8,4,X,168
1.8,4,X,163
1.8,4,X,170
1.8,4,X,156
1.8,4,X,159
1.8,4,X,196
4.0,6,X,320
2.7,4,X,237
3.5,6,X,191
3.5,6,X,189
1.8,4,X,110
1.5,4,X,108
1.8,4,X,126
2.5,4,X,218
5.7,8,X,384
3.5,6,X,260
3.5,6,X,285
2.7,4,X,251
2.7,4,X,235
2.7,4,X,274
2.7,4,X,271
4.0,6,X,306
4.0,6,X,322
4.0,6,X,310
4.6,8,X,329
5.7,8,X,356
4.6,8,X,347
5.7,8,X,373
2.7,4,X,230
1.5,4,X,168
1.5,4,X,163
1.8,4,X,200
2.0,4,Z,216
2.5,5,X,225
2.5,5,X,221
2.0,4,D,200
2.0,4,D,208
2.5,5,X,232
2.0,4,Z,223
3.6,6,Z,283
2.5,5,X,218
2.5,5,X,216
2.0,4,D,198
2.0,4,D,196
2.0,4,Z,207
1.4,4,Z,124
1.8,4,X,198
2.5,5,X,223
3.6,6,Z,248
2.0,4,D,180
3.6,6,Z,296
3.0,6,X,264
3.2,6,X,235
3.2,6,X,258
3.0,6,X,271
3.2,6,X,264
3.2,6,X,260
3.2,6,X,294
2.0,4,Z,191
2.4,4,Z,214
1.5,4,Z,140
3.5,6,Z,177
2.4,4,Z,191
3.5,6,Z,212
3.5,6,Z,221
6.0,12,Z,327
4.7,8,Z,356
6.0,12,Z,379
6.0,12,Z,340
1.8,4,Z,200
2.0,4,D,177
2.0,4,Z,198
2.0,4,Z,205
3.0,6,Z,242
4.0,8,Z,246
4.0,8,Z,258
6.3,12,Z,344
3.0,6,Z,306
4.2,8,Z,327
4.2,8,Z,382
5.2,10,Z,377
4.2,8,Z,294
4.2,8,Z,297
4.0,8,Z,313
3.0,6,Z,269
4.0,8,Z,269
4.0,8,Z,307
6.0,12,Z,354
4.0,8,Z,337
6.0,12,Z,368
4.0,8,Z,327
4.0,8,Z,334
6.8,8,Z,419
3.0,6,Z,225
4.4,8,Z,283
4.4,8,Z,294
3.0,6,D,238
3.0,6,Z,200
3.0,6,Z,216
3.0,6,Z,248
3.0,6,Z,239
3.0,6,Z,271
4.4,8,Z,315
2.0,4,D,213
4.4,8,Z,336
3.0,6,D,235
3.6,6,E,253
2.5,4,X,214
3.6,6,X,253
3.6,6,X,246
2.0,4,Z,244
3.6,6,Z,292
6.2,8,Z,322
6.2,8,Z,317
6.2,8,Z,334
3.6,6,X,265
6.2,8,Z,357
6.2,8,Z,386
2.5,4,X,242
2.5,4,X,248
6.2,8,Z,269
6.2,8,Z,308
1.8,4,X,186
2.4,4,E,214
2.4,4,E,227
6.0,8,E,414
4.8,8,X,416
6.0,8,X,437
6.0,8,E,418
2.5,4,X,212
3.6,6,E,232
4.3,6,X,274
4.3,6,E,274
5.3,8,E,275
4.3,6,X,288
4.3,6,E,288
5.3,8,E,280
6.2,8,Z,327
1.2,4,X,161
1.2,4,X,156
5.3,8,X,306
5.3,8,E,306
5.3,8,E,282
1.4,4,X,189
2.4,4,E,181
3.6,6,E,218
3.6,6,E,226
5.7,8,X,283
6.4,8,Z,297
5.7,8,X,297
2.0,4,E,184
5.7,8,X,338
3.6,6,E,262
8.4,10,Z,363
1.4,4,X,198
1.4,4,X,216
2.0,4,X,237
2.7,6,X,274
3.5,6,X,327
3.5,6,X,331
2.0,4,X,239
3.5,6,E,258
3.5,6,E,270
2.7,6,X,248
5.0,8,X,306
5.0,8,E,286
2.7,6,X,276
3.5,6,E,269
5.0,8,X,320
5.0,8,E,299
1.0,3,X,152
1.6,4,X,170
3.5,6,X,267
1.0,3,X,163
2.0,4,E,166
2.0,4,E,174
1.5,4,X,193
1.5,4,X,184
2.3,4,X,216
2.3,4,X,212
3.7,6,X,246
3.7,6,X,258
5.0,8,X,285
5.0,8,X,288
2.3,4,X,228
5.0,8,X,299
3.5,6,X,338
3.7,6,X,340
3.7,6,E,315
3.5,6,X,239
3.5,6,E,235
2.5,4,X,235
2.4,4,X,179
2.4,4,X,184
3.5,6,X,219
2.0,4,X,115
2.4,4,Z,216
1.5,4,X,120
2.4,4,X,191
1.5,4,X,147
1.5,4,X,156
1.8,4,X,172
3.8,6,X,278
5.0,8,Z,327
3.8,6,Z,283
3.8,6,Z,285
3.3,6,X,260
3.3,6,X,264
3.3,6,X,287
2.4,4,X,193
3.7,6,Z,237
3.7,6,Z,246
5.6,8,Z,285
5.6,8,Z,297
3.7,6,Z,274
3.5,6,Z,246
2.5,4,X,200
5.6,8,Z,338
3.0,6,Z,288
5.0,8,Z,313
5.0,8,Z,308
2.4,4,E,206
3.2,6,X,228
2.4,4,E,219
3.2,6,X,251
2.4,4,X,214
2.4,4,X,223
1.4,4,X,202
2.4,4,E,195
3.3,6,X,246
3.8,6,X,260
3.3,6,X,288
2.4,4,X,239
3.3,6,X,255
2.0,4,X,260
6.5,12,Z,412
6.5,12,Z,453
5.2,10,Z,334
6.5,12,Z,423
3.0,6,Z,329
1.8,4,X,131
2.5,4,X,136
2.5,6,Z,221
5.0,8,Z,264
5.7,8,Z,382
2.0,4,X,251
2.3,4,X,258
3.7,6,X,278
2.0,4,X,133
3.0,6,Z,294
3.0,6,Z,299
3.7,6,X,292
2.5,4,X,166
6.2,8,Z,354
2.0,4,Z,186
4.7,8,Z,288
2.1,4,D,200
3.5,6,Z,248
5.5,8,Z,306
5.5,8,Z,426
3.0,6,Z,322
5.5,8,Z,375
3.5,6,Z,258
3.0,6,Z,276
5.5,8,Z,359
4.7,6,Z,248
4.7,8,Z,283
4.7,8,Z,281
6.0,12,Z,343
6.0,12,Z,357
6.0,12,Z,345
4.7,8,Z,274
5.5,8,Z,285
5.5,8,Z,244
6.2,8,Z,359
1.5,3,Z,172
1.5,3,Z,163
1.5,3,Z,166
1.6,4,Z,177
1.6,4,Z,172
2.0,4,Z,189
2.4,4,X,219
1.2,3,X,136
2.4,4,X,221
3.5,6,X,207
5.6,8,X,382
3.8,6,Z,290
1.6,4,X,182
1.6,4,X,189
1.6,4,Z,202
1.6,4,X,179
3.5,6,X,225
3.5,6,X,228
3.5,6,X,242
5.6,8,X,370
5.6,8,X,396
1.6,4,X,156
4.0,6,X,331
3.4,6,Z,244
3.4,6,Z,235
3.4,6,Z,251
3.8,6,Z,255
3.8,6,Z,260
3.8,6,Z,262
3.8,6,Z,267
3.8,6,Z,242
3.4,6,Z,248
3.4,6,Z,255
3.4,6,Z,218
3.6,6,Z,286
4.8,8,Z,327
3.0,6,D,273
3.0,6,D,265
6.6,12,Z,370
6.7,12,Z,396
1.3,4,X,147
1.0,3,Z,150
2.0,4,X,175
2.5,4,X,182
2.0,4,Z,255
2.5,4,Z,281
2.0,4,X,173
4.0,6,X,294
2.5,4,X,193
3.5,6,X,218
2.7,4,X,246
3.5,6,X,196
3.5,6,X,193
1.8,4,X,108
1.5,4,X,110
5.7,8,X,382
3.5,6,X,262
2.7,4,X,258
2.7,4,X,242
2.7,4,X,283
4.0,6,X,308
5.7,8,X,350
2.7,4,X,239
2.0,4,D,183
2.0,4,D,184
3.6,6,Z,271
2.0,4,Z,219
2.0,4,D,178
1.8,4,X,193
2.0,4,D,179
2.0,4,D,175
2.0,4,D,176
1.4,4,Z,122
2.0,4,D,185
2.0,4,D,182
3.6,6,Z,239
2.0,4,Z,258
3.0,6,X,258
2.5,5,X,237
2.5,5,X,262
3.0,6,X,274
2.4,4,Z,189
3.5,6,Z,254
3.5,6,Z,249
3.5,6,Z,180
2.4,4,Z,196
3.5,6,Z,226
1.8,4,Z,197
5.9,12,Z,365
6.0,12,Z,332
6.0,12,Z,346
4.7,8,Z,343
4.7,8,Z,362
6.0,12,Z,390
1.8,4,X,204
2.0,4,X,201
2.0,4,X,208
2.0,4,Z,224
2.0,4,Z,211
3.0,6,Z,247
4.0,8,Z,249
4.0,8,Z,255
2.0,4,Z,240
3.0,6,Z,257
3.0,6,Z,273
3.0,6,Z,266
4.0,8,Z,263
2.0,4,Z,222
6.0,12,Z,360
6.0,12,Z,375
6.8,8,Z,408
2.0,4,Z,197
3.0,6,Z,238
3.0,6,Z,217
3.0,6,Z,231
3.0,6,Z,241
2.0,4,Z,210
3.0,6,D,212
3.0,6,Z,263
4.4,8,Z,288
3.0,6,Z,219
3.0,6,Z,245
3.0,6,Z,284
3.0,6,Z,282
4.4,8,Z,344
4.4,8,Z,321
2.0,4,Z,215
2.0,4,D,211
2.0,4,Z,231
2.0,4,Z,238
4.4,8,Z,343
3.0,6,D,233
4.4,8,Z,322
3.6,6,X,315
3.6,6,X,323
1.4,4,X,199
1.4,4,X,215
1.4,4,X,192
3.6,6,X,268
3.6,6,E,260
3.6,6,E,263
2.0,4,Z,252
2.4,4,X,224
3.6,6,X,233
3.6,6,X,247
3.6,6,Z,293
3.6,6,Z,289
3.6,6,X,257
2.0,4,Z,229
6.2,8,Z,332
6.2,8,Z,325
3.6,6,X,287
3.6,6,X,300
3.6,6,X,263
3.6,6,X,273
3.6,6,Z,302
3.6,6,X,261
6.2,8,Z,272
6.2,8,Z,284
2.0,4,X,220
2.5,4,X,247
2.5,4,X,253
2.8,4,D,252
2.5,4,X,265
2.8,4,D,277
3.6,6,X,279
6.2,8,Z,275
6.2,8,Z,263
6.2,8,Z,335
6.2,8,Z,313
1.4,4,X,159
1.4,4,X,167
1.4,4,X,160
1.8,4,X,207
1.8,4,X,190
1.4,4,X,181
2.4,4,E,221
2.4,4,E,236
6.0,8,X,441
6.0,8,X,465
2.5,4,X,215
3.6,6,E,239
3.6,6,X,272
3.6,6,N,213
1.5,4,X,179
1.8,4,X,122
5.3,8,X,298
6.2,8,Z,328
4.3,6,X,280
4.3,6,E,284
5.3,8,E,286
5.3,8,X,307
4.3,6,X,296
4.3,6,E,301
5.3,8,E,295
5.3,8,X,304
1.4,4,X,188
1.4,4,X,175
1.8,4,X,195
1.8,4,X,187
1.4,4,X,195
1.4,4,X,157
1.4,4,X,162
5.3,8,E,288
5.3,8,X,312
5.3,8,E,317
5.3,8,X,310
5.3,8,E,300
1.4,4,X,190
1.4,4,X,205
2.4,4,E,186
3.6,6,X,239
3.6,6,E,225
3.6,6,X,250
3.6,6,X,240
5.7,8,X,289
3.6,6,E,243
3.6,6,X,282
3.6,6,E,279
5.7,8,X,307
6.4,8,Z,326
6.4,8,Z,302
6.2,8,Z,339
6.2,8,Z,353
5.7,8,X,302
2.4,4,X,205
2.0,4,E,187
2.4,4,X,215
2.4,4,X,207
1.4,4,X,171
5.7,8,X,329
3.6,6,E,270
3.6,6,X,292
8.4,10,Z,364
1.4,4,X,183
1.4,4,X,218
1.4,4,X,203
1.4,4,X,194
2.4,4,X,217
2.0,4,X,140
2.0,4,X,231
3.5,6,X,268
2.0,4,X,240
2.7,6,X,278
1.6,4,X,208
2.0,4,X,224
2.5,4,X,220
1.6,4,X,220
2.0,4,X,236
3.5,6,X,334
2.3,4,X,253
3.5,6,X,280
3.5,6,E,264
2.3,4,X,265
3.5,6,X,305
3.5,6,X,295
3.5,6,E,282
2.7,6,X,256
2.7,6,X,263
3.5,6,X,303
3.5,6,X,272
3.5,6,E,261
5.0,8,X,309
5.0,8,E,292
5.0,8,X,341
5.0,8,E,293
2.7,6,X,275
2.7,6,X,288
3.5,6,X,324
3.5,6,E,278
5.0,8,X,324
5.0,8,E,306
5.0,8,X,347
5.0,8,E,310
1.6,4,X,180
1.0,3,X,153
1.6,4,X,191
3.5,6,X,298
3.5,6,X,322
1.0,3,X,171
1.0,3,X,160
2.0,4,X,178
2.0,4,X,183
2.0,4,E,175
2.0,4,X,188
2.0,4,E,179
2.3,4,Z,255
2.0,4,X,217
1.5,4,X,197
1.5,4,X,188
2.0,4,X,210
2.5,4,X,209
2.0,4,X,130
2.3,4,X,219
2.3,4,X,217
3.7,6,X,253
3.7,6,X,264
5.0,8,X,298
2.3,4,X,234
5.0,8,X,304
5.2,8,Z,334
3.5,6,X,342
3.7,6,X,356
3.7,6,E,345
3.5,6,E,248
3.5,6,X,293
3.5,6,X,291
3.5,6,E,271
2.5,4,X,243
2.5,4,E,233
2.5,4,X,252
2.5,4,E,240
6.2,8,Z,323
3.5,6,X,223
2.4,4,X,177
2.4,4,X,187
1.5,4,X,155
2.0,4,X,162
1.5,4,X,157
2.0,4,X,176
1.5,4,X,169
1.5,4,X,150
1.5,4,X,158
1.5,4,X,171
3.5,6,X,250
3.5,6,X,257
1.6,4,X,176
1.8,4,X,176
1.8,4,X,180
2.0,4,X,194
2.0,4,X,203
5.0,8,Z,312
3.8,6,X,285
5.0,8,Z,332
