Engine Size(L),Cylinders,Fuel Type,CO2 Emissions(g/km)
3.8,6,Z,284
3.3,6,X,265
3.3,6,X,269
2.0,4,X,266
2.4,4,X,257
3.3,6,X,295
2.4,4,X,204
2.0,4,X,136
2.0,4,X,211
1.6,4,X,219
1.6,4,X,197
2.0,4,Z,226
3.0,6,Z,249
3.0,6,Z,256
3.5,6,Z,181
3.5,6,Z,193
5.6,8,Z,300
3.7,6,Z,279
3.5,6,Z,252
2.5,4,X,204
3.7,6,Z,301
5.6,8,Z,354
3.0,6,Z,296
5.0,8,Z,302
5.0,8,Z,311
3.0,6,Z,254
3.0,6,Z,302
3.0,6,Z,275
3.0,6,Z,279
2.4,4,E,213
3.2,6,X,233
2.4,4,X,233
2.4,4,E,226
3.2,6,X,240
2.4,4,X,238
3.2,6,X,256
2.0,4,X,234
2.4,4,X,248
2.4,4,X,259
6.4,8,Z,370
2.4,4,X,220
2.4,4,E,201
2.4,4,X,229
3.6,6,X,299
3.6,6,X,314
3.6,6,X,312
1.6,4,X,228
1.6,4,X,227
2.0,4,X,199
2.0,4,X,197
1.6,4,X,222
2.0,4,X,206
5.0,8,X,318
2.0,4,X,222
2.4,4,X,150
1.6,4,X,178
3.3,6,X,275
3.3,6,X,296
2.0,4,X,245
2.0,4,X,259
2.4,4,X,245
1.6,4,X,206
2.4,4,X,231
2.4,4,X,261
2.0,4,X,261
6.5,12,Z,420
6.5,12,Z,452
5.2,10,Z,331
5.2,10,Z,340
3.0,6,Z,336
3.0,6,Z,291
3.0,6,D,254
5.0,8,Z,356
5.0,8,Z,344
1.8,4,X,132
2.5,4,X,139
2.0,4,Z,227
3.5,6,Z,237
5.0,8,Z,293
4.6,8,Z,322
4.6,8,Z,286
4.6,8,Z,303
5.0,8,Z,268
5.7,8,Z,371
2.5,4,X,172
5.0,8,Z,289
3.5,6,Z,186
2.0,4,X,256
2.3,4,X,261
3.7,6,X,287
2.0,4,X,268
3.7,6,X,298
2.7,6,X,283
3.7,6,X,293
3.7,6,X,257
3.7,6,X,279
3.5,6,X,339
3.0,6,Z,286
3.0,6,Z,293
3.0,6,Z,295
4.7,8,Z,357
4.7,8,Z,360
3.8,8,Z,322
3.0,6,Z,300
2.0,4,X,192
2.5,4,X,190
2.5,4,X,210
2.0,4,X,165
2.5,4,X,173
2.5,4,X,169
2.0,4,X,167
2.5,4,X,226
2.5,4,X,229
2.5,4,X,178
2.5,4,X,171
2.5,4,X,188
2.0,4,Z,183
4.0,8,Z,268
5.5,8,Z,417
6.0,12,Z,476
5.5,8,Z,369
5.5,8,Z,366
4.0,8,Z,303
5.5,8,Z,313
6.0,12,Z,361
6.0,12,Z,355
5.5,8,Z,298
6.0,12,Z,335
5.5,8,Z,252
2.0,4,Z,188
2.0,4,Z,206
2.0,4,E,198
3.0,6,Z,252
4.7,8,Z,277
3.5,6,Z,240
3.0,6,Z,233
4.7,8,Z,270
4.7,8,Z,275
4.7,8,Z,268
5.5,8,Z,401
3.0,6,D,322
3.0,6,Z,298
4.7,8,Z,365
2.0,4,Z,203
3.0,6,D,246
3.0,6,D,253
4.7,8,Z,335
6.0,12,Z,359
2.0,4,Z,233
4.7,8,Z,294
4.7,8,Z,287
4.7,8,Z,289
2.0,4,Z,199
3.5,6,Z,229
1.5,3,Z,181
1.5,3,Z,170
1.5,3,Z,195
1.5,3,Z,194
1.6,4,Z,212
1.6,4,Z,201
2.0,4,X,181
2.4,4,X,210
1.2,3,X,139
3.7,6,Z,260
3.7,6,Z,270
3.7,6,Z,278
2.5,4,X,176
3.5,6,X,212
2.5,4,X,181
2.5,4,X,285
2.5,4,X,266
4.0,6,X,300
4.0,6,X,313
3.8,6,Z,294
1.6,4,Z,183
1.6,4,Z,194
1.6,4,Z,208
3.5,6,Z,223
3.5,6,X,230
3.5,6,X,232
3.5,6,X,245
2.5,4,X,194
2.5,4,X,201
1.8,4,X,167
3.4,6,Z,238
3.4,6,Z,249
3.4,6,Z,236
3.8,6,Z,259
3.8,6,Z,272
3.8,6,Z,245
3.8,6,Z,252
3.8,6,Z,250
3.4,6,Z,240
3.4,6,Z,257
3.8,6,Z,265
3.8,6,Z,268
3.8,6,Z,257
3.8,6,Z,329
4.0,6,Z,334
3.4,6,Z,261
3.8,6,Z,278
2.7,6,Z,217
2.7,6,Z,232
3.4,6,Z,222
3.4,6,Z,250
3.4,6,Z,230
3.4,6,Z,245
3.6,6,Z,277
3.0,6,D,270
3.6,6,Z,300
4.8,8,Z,334
4.8,8,Z,336
3.8,6,Z,277
3.6,6,Z,287
4.8,8,Z,298
3.6,6,Z,262
4.8,8,Z,300
4.8,8,Z,303
5.7,8,X,348
5.7,8,X,319
3.0,6,D,272
3.0,6,D,264
3.6,6,E,296
5.7,8,X,362
5.7,8,X,330
3.0,6,D,283
6.6,12,Z,373
6.7,12,Z,403
6.7,12,Z,404
6.6,12,Z,367
1.8,4,X,173
2.5,4,X,211
0.9,3,Z,157
2.5,4,X,227
2.5,4,X,185
2.0,4,Z,254
2.5,4,Z,285
4.0,6,X,298
2.5,4,X,192
3.5,6,X,222
2.5,4,X,134
2.5,4,X,137
1.8,4,X,171
1.8,4,X,174
1.8,4,X,160
1.8,4,X,162
3.5,6,X,198
3.5,6,X,195
1.8,4,X,104
1.5,4,X,111
2.5,4,X,208
3.5,6,X,290
2.7,4,X,261
2.7,4,X,279
3.5,6,X,300
4.6,8,X,335
5.7,8,X,360
4.6,8,X,351
5.7,8,X,380
2.7,4,X,244
3.5,6,X,256
2.7,4,X,241
3.5,6,X,263
1.5,4,X,151
1.5,4,X,165
1.8,4,X,203
2.0,4,Z,217
2.0,4,Z,220
1.8,4,X,192
3.6,6,X,243
2.0,4,Z,251
2.0,4,Z,259
2.5,5,X,239
2.5,5,X,233
3.0,6,X,259
2.0,4,X,213
2.5,5,X,254
2.0,4,Z,247
3.0,6,X,276
2.4,4,Z,192
3.5,6,Z,259
3.0,6,Z,210
3.5,6,Z,261
3.5,6,Z,250
3.5,6,Z,190
2.4,4,Z,197
2.9,6,Z,280
5.2,12,Z,322
6.0,12,Z,331
6.0,12,Z,450
2.0,4,X,223
2.0,4,Z,177
2.0,4,Z,204
2.0,4,Z,243
2.0,4,Z,241
2.0,4,Z,253
5.2,10,Z,330
4.0,8,Z,309
3.0,6,Z,259
4.0,8,Z,312
6.0,12,Z,370
4.0,8,Z,321
6.8,8,Z,407
6.8,8,Z,430
2.0,4,Z,213
2.0,4,D,189
3.0,6,Z,224
4.4,8,Z,273
3.0,6,Z,250
6.6,12,Z,355
4.4,8,Z,341
3.0,6,D,249
3.0,6,Z,270
3.6,6,X,322
1.4,4,X,185
1.4,4,X,208
2.5,4,X,232
3.6,6,X,224
2.0,4,Z,250
2.4,4,X,226
2.0,4,Z,236
3.6,6,X,234
3.6,6,Z,279
3.6,6,Z,295
3.6,6,X,259
3.6,6,Z,299
6.2,8,Z,331
3.6,6,X,245
3.6,6,X,249
6.2,8,Z,273
6.2,8,Z,367
6.2,8,Z,349
2.5,4,X,254
2.8,4,D,255
2.5,4,X,263
2.8,4,D,280
3.6,6,X,286
2.8,4,D,315
3.6,6,X,331
6.2,8,Z,290
6.2,8,Z,278
6.2,8,Z,336
6.2,8,Z,312
1.4,4,X,165
1.4,4,X,170
1.4,4,X,169
1.6,4,D,172
1.6,4,D,169
1.4,4,X,176
2.4,4,E,223
2.4,4,E,234
3.6,6,X,304
6.0,8,X,438
6.0,8,X,445
2.5,4,X,224
3.6,6,E,240
1.5,4,X,182
1.8,4,X,121
5.3,8,X,297
5.3,8,X,309
4.3,6,X,279
5.3,8,E,284
5.3,8,X,327
6.2,8,Z,330
4.3,6,X,294
4.3,6,E,294
5.3,8,E,315
5.3,8,X,303
1.4,4,X,174
1.8,4,X,197
1.8,4,X,194
5.3,8,X,305
5.3,8,E,299
2.4,4,X,201
2.4,4,E,192
3.6,6,X,241
3.6,6,X,252
3.6,6,E,248
5.7,8,Z,307
6.4,8,Z,325
5.7,8,X,312
5.7,8,X,328
3.6,6,E,274
3.6,6,X,284
8.4,10,Z,387
1.4,4,X,187
1.4,4,X,221
1.4,4,X,197
2.0,4,X,233
3.5,6,X,270
2.0,4,X,244
2.7,6,X,281
3.5,6,X,284
1.5,4,X,214
2.5,4,E,219
1.5,4,X,226
3.5,6,X,333
3.5,6,X,337
2.3,4,X,254
3.5,6,X,281
2.3,4,X,266
3.5,6,X,296
3.5,6,E,284
2.7,6,X,272
5.0,8,X,310
5.0,8,E,291
2.7,6,X,293
3.5,6,E,281
5.0,8,X,323
5.0,8,E,305
5.0,8,X,330
5.0,8,E,326
1.0,3,X,158
1.6,4,X,192
3.5,6,X,321
1.0,3,X,176
1.0,3,X,164
2.0,4,X,185
2.0,4,E,177
2.0,4,E,182
2.0,4,X,195
2.0,4,E,188
2.3,4,Z,256
2.0,4,X,219
1.5,4,X,204
2.0,4,X,238
2.7,6,X,270
2.0,4,X,131
3.5,6,Z,406
2.3,4,X,226
2.3,4,X,239
2.3,4,X,230
3.7,6,X,259
3.7,6,X,271
5.0,8,X,303
5.0,8,X,307
2.3,4,X,237
5.2,8,Z,341
3.5,6,X,344
3.7,6,X,354
3.7,6,E,343
3.5,6,E,249
2.5,4,X,244
2.5,4,E,234
2.5,4,E,242
3.8,6,X,286
3.3,6,Z,279
6.2,8,Z,333
2.4,4,X,190
3.5,6,X,254
2.4,4,X,180
2.0,4,X,114
1.5,4,X,153
2.0,4,X,172
1.5,4,X,162
1.5,4,Z,170
1.5,4,X,167
1.5,4,Z,167
1.5,4,X,181
1.5,4,X,154
1.5,4,X,164
1.5,4,X,174
3.5,6,X,266
2.0,4,X,174
2.0,4,X,187
2.0,4,X,204
1.6,4,X,103
1.6,4,X,96
2.4,4,X,194
2.0,4,X,143
2.0,4,X,137
2.0,4,X,241
1.6,4,X,188
1.6,4,X,193
1.6,4,X,200
3.5,6,Z,200
3.5,6,Z,184
3.7,6,Z,280
3.5,6,Z,257
5.6,8,Z,355
3.0,6,Z,277
3.0,6,Z,265
2.0,4,D,186
3.0,6,Z,243
3.0,6,Z,280
3.2,6,X,234
3.2,6,X,241
2.4,4,X,240
3.2,6,X,259
2.4,4,X,256
3.2,6,X,269
2.4,4,X,249
6.4,8,Z,368
2.4,4,X,211
2.4,4,X,222
1.4,4,X,209
1.4,4,X,211
3.6,6,X,298
3.6,6,X,313
3.3,6,X,237
2.0,4,X,170
1.6,4,X,204
3.8,6,X,279
5.0,8,Z,317
1.6,4,X,114
1.6,4,X,110
1.6,4,X,129
2.0,4,X,132
1.6,4,X,181
2.4,4,X,234
3.3,6,X,289
3.3,6,X,270
1.6,4,X,199
2.0,4,X,263
2.4,4,X,247
6.5,12,Z,428
6.5,12,Z,461
6.5,12,Z,438
3.5,6,X,226
3.5,6,Z,176
4.6,8,Z,341
5.7,8,Z,372
3.5,6,X,252
3.5,6,Z,185
3.0,6,X,288
2.0,4,X,254
2.3,4,X,268
2.7,6,X,284
3.0,6,X,278
2.0,4,X,139
4.7,8,Z,355
4.7,8,Z,358
3.0,6,Z,340
3.0,6,Z,346
3.8,8,Z,321
2.5,4,X,183
2.5,4,X,230
2.5,4,X,187
2.0,4,Z,187
2.0,4,Z,190
4.0,8,Z,273
4.0,8,Z,291
4.0,8,Z,285
5.5,8,Z,413
6.0,12,Z,467
3.0,6,Z,353
5.5,8,Z,322
5.5,8,Z,305
6.0,12,Z,349
6.0,12,Z,348
6.0,12,Z,365
3.0,6,Z,234
4.0,8,Z,401
2.0,4,E,128
4.7,8,Z,318
4.7,8,Z,280
6.0,12,Z,350
1.5,3,Z,184
1.5,3,Z,175
1.5,3,Z,197
1.5,3,Z,213
1.5,3,Z,214
1.5,3,Z,215
2.4,4,X,206
1.2,3,X,141
1.2,3,X,150
1.2,3,X,149
1.2,3,X,155
2.4,4,X,197
3.7,6,Z,261
5.6,8,X,362
2.5,4,X,286
2.5,4,X,268
4.0,6,X,304
4.0,6,X,326
4.0,6,X,317
3.8,6,Z,300
1.6,4,Z,189
1.6,4,Z,188
1.6,4,Z,199
1.6,4,Z,197
1.6,4,Z,209
1.6,4,X,185
3.5,6,X,240
2.5,4,X,203
1.6,4,Z,193
1.6,4,Z,195
1.6,4,Z,205
1.6,4,Z,204
5.6,8,X,312
5.6,8,X,315
5.6,8,X,333
1.6,4,X,164
3.0,6,Z,227
3.0,6,Z,226
3.8,6,Z,266
2.5,4,Z,230
2.5,4,Z,249
3.6,6,Z,268
3.6,6,Z,281
3.0,6,Z,287
3.6,6,X,280
3.6,6,E,283
5.7,8,X,346
3.6,6,E,300
5.7,8,X,361
3.0,6,D,289
6.6,12,Z,390
6.7,12,Z,400
6.7,12,Z,401
6.6,12,Z,375
0.9,3,Z,152
2.5,4,X,222
2.5,4,X,199
3.5,6,X,224
2.5,4,X,141
1.8,4,X,178
1.8,4,X,185
3.5,6,X,243
3.5,6,X,247
1.8,4,X,105
1.8,4,X,135
2.5,4,X,217
2.7,4,X,263
3.5,6,X,283
3.5,6,X,301
4.6,8,X,334
5.7,8,X,358
4.6,8,X,349
5.7,8,X,378
1.5,4,X,173
1.8,4,X,199
1.8,4,X,201
3.6,6,X,277
1.8,4,X,220
2.0,4,Z,256
2.0,4,Z,263
2.0,4,Z,249
3.5,6,Z,196
2.4,4,Z,205
2.4,4,Z,209
3.5,6,Z,228
2.9,6,Z,292
4.0,8,Z,271
4.0,8,Z,290
5.2,10,Z,304
5.2,10,Z,338
2.5,5,Z,248
2.9,6,Z,260
4.0,8,Z,318
4.0,8,Z,298
2.5,5,Z,245
6.0,12,Z,389
4.0,8,Z,353
6.8,8,Z,405
2.0,4,Z,208
3.0,6,Z,183
3.0,6,Z,240
3.0,6,Z,223
3.0,6,Z,236
4.4,8,Z,286
3.0,6,Z,222
8.0,16,Z,522
1.4,4,X,210
2.5,4,X,234
3.6,6,X,228
3.6,6,Z,291
3.6,6,Z,311
6.2,8,Z,348
2.0,4,X,218
2.5,4,X,251
2.8,4,D,257
2.8,4,D,279
3.6,6,X,288
6.2,8,Z,297
1.6,4,D,175
1.6,4,D,170
1.6,4,D,178
1.6,4,D,180
1.5,4,X,195
1.6,4,D,198
1.5,4,X,209
3.6,6,X,254
3.6,6,E,245
4.3,6,X,278
5.3,8,E,283
5.3,8,X,278
4.3,6,E,296
5.3,8,E,309
5.3,8,X,324
5.3,8,E,285
5.3,8,X,313
5.3,8,E,321
3.6,6,E,234
3.6,6,E,268
1.0,3,X,195
2.0,4,X,246
2.7,6,X,282
3.5,6,X,311
2.3,4,X,267
3.5,6,E,288
2.7,6,X,249
2.7,6,X,253
2.7,6,X,258
3.0,6,D,256
3.0,6,D,260
3.3,6,X,259
3.3,6,X,257
3.3,6,E,248
3.3,6,X,263
3.5,6,X,282
5.0,8,X,286
5.0,8,E,288
5.0,8,X,308
2.7,6,X,265
2.7,6,X,277
3.0,6,D,288
3.0,6,D,266
3.3,6,X,277
3.3,6,X,273
3.3,6,E,263
3.3,6,X,291
3.3,6,E,262
3.5,6,X,297
5.0,8,X,311
5.0,8,E,300
5.0,8,X,334
5.0,8,X,339
5.0,8,E,325
2.3,4,Z,252
1.5,4,X,203
3.5,6,Z,403
2.3,4,X,236
2.3,4,X,222
2.3,4,X,240
5.0,8,X,291
5.0,8,X,300
2.3,4,X,238
5.0,8,X,305
3.5,6,X,345
2.5,4,E,241
3.3,6,Z,282
3.8,6,X,276
3.6,6,X,275
1.5,4,X,201
1.5,4,X,210
1.5,4,X,185
2.0,4,X,118
1.5,4,Z,173
1.5,4,X,166
1.6,4,X,173
1.6,4,X,194
1.6,4,X,226
1.6,4,X,102
1.6,4,X,201
2.0,4,X,135
5.6,8,Z,301
2.0,4,D,218
2.4,4,E,218
2.4,4,E,231
3.0,6,D,268
6.2,8,Z,413
2.0,4,X,168
3.3,6,Z,265
6.5,12,Z,454
6.5,12,Z,464
5.2,10,Z,336
5.2,10,Z,349
5.2,10,Z,337
5.2,10,Z,350
2.0,4,D,229
5.0,8,Z,286
3.5,6,Z,187
3.4,6,Z,259
3.5,6,Z,195
3.5,6,Z,211
3.5,6,Z,262
2.7,6,X,280
3.0,6,X,290
2.3,4,X,269
3.5,6,X,310
2.0,4,X,180
2.5,4,X,206
4.0,8,Z,274
6.0,12,Z,473
3.0,6,Z,272
5.5,8,Z,364
5.5,8,Z,357
5.5,8,Z,367
4.0,8,Z,302
4.0,8,Z,304
4.0,8,Z,322
4.0,8,Z,324
4.0,8,Z,275
4.0,8,Z,306
5.5,8,Z,291
6.0,12,Z,339
3.0,6,Z,261
4.0,8,Z,410
4.7,8,Z,317
3.0,6,Z,305
4.7,8,Z,346
2.0,4,Z,268
4.0,8,Z,276
4.0,8,Z,261
1.5,3,Z,174
1.5,3,Z,212
2.0,4,Z,195
1.5,4,X,208
1.5,4,X,216
2.5,4,X,179
2.5,4,X,290
1.6,4,X,169
3.5,6,Z,227
3.5,6,X,259
5.6,8,X,331
4.0,6,Z,324
4.0,6,Z,352
2.5,4,Z,257
3.0,6,Z,229
2.9,6,Z,235
2.9,6,Z,249
4.0,8,Z,279
6.6,12,Z,397
6.7,12,Z,387
6.6,12,Z,388
2.5,4,Z,291
2.5,4,Z,296
2.5,4,X,164
3.5,6,X,210
3.5,6,X,215
2.5,4,X,113
2.5,4,X,121
5.7,8,X,371
4.6,8,X,354
5.7,8,X,383
1.8,4,X,225
1.8,4,X,224
1.8,4,X,218
2.0,4,X,229
2.0,4,X,226
2.4,4,Z,199
5.2,12,Z,312
5.2,12,Z,324
4.0,8,Z,264
2.0,4,Z,182
2.0,4,X,248
2.5,5,Z,247
2.9,6,Z,262
2.9,6,Z,268
2.5,5,Z,241
4.0,8,Z,315
6.8,8,Z,465
2.0,4,Z,194
4.4,8,Z,282
4.4,8,Z,269
4.4,8,Z,270
4.4,8,Z,314
1.4,4,X,204
1.4,4,X,214
3.6,6,X,238
4.2,8,Z,324
3.6,6,Z,298
6.2,8,Z,337
6.2,8,Z,279
6.2,8,Z,355
2.8,4,D,270
2.5,4,X,267
2.8,4,D,283
2.8,4,D,326
6.2,8,Z,299
6.2,8,Z,286
6.2,8,Z,318
6.2,8,Z,381
6.2,8,Z,368
1.6,4,D,199
1.5,4,X,207
4.3,6,X,316
5.3,8,X,326
5.3,8,X,329
5.3,8,X,290
2.7,4,X,275
4.3,6,X,329
5.3,8,X,339
5.3,8,E,322
5.3,8,X,350
5.3,8,X,320
6.2,8,Z,321
5.3,8,X,325
5.3,8,X,314
5.3,8,E,298
5.3,8,X,336
5.3,8,X,321
5.3,8,E,305
6.4,8,Z,304
1.3,4,X,213
1.0,3,X,196
2.7,6,X,259
2.5,4,E,218
1.5,4,X,232
3.5,6,X,307
2.7,6,X,260
3.3,6,X,256
3.3,6,E,247
5.0,8,X,287
5.0,8,X,326
2.7,6,X,268
3.0,6,D,287
5.0,8,X,312
5.0,8,E,323
3.5,6,X,336
3.5,6,Z,402
2.3,4,X,221
2.3,4,X,242
2.3,4,X,227
2.3,4,X,244
5.0,8,X,289
2.3,4,X,243
2.3,4,X,241
5.0,8,X,302
2.3,4,X,256
3.5,6,X,346
3.7,6,X,355
2.0,4,E,209
2.0,4,E,208
3.3,6,Z,274
2.5,4,X,237
4.3,6,X,317
5.3,8,X,294
2.7,4,X,277
5.3,8,X,330
5.3,8,E,323
5.3,8,X,316
6.2,8,Z,326
2.0,4,X,117
2.0,4,X,164
1.8,4,X,181
1.5,4,X,114
1.6,4,X,172
1.6,4,X,104
3.3,6,X,268
3.3,6,X,276
3.3,6,X,297
3.7,6,Z,275
3.2,6,X,249
2.0,4,X,249
1.3,4,X,204
1.3,4,X,216
1.3,4,X,230
3.3,6,X,238
2.4,4,X,199
3.3,6,X,272
2.4,4,X,242
1.6,4,X,198
6.5,12,Z,487
6.5,12,Z,493
5.2,10,Z,366
5.2,10,Z,370
4.0,8,Z,384
3.0,6,Z,311
3.0,6,D,279
5.0,8,Z,305
5.0,8,Z,365
2.5,4,X,124
3.5,6,X,211
3.5,6,Z,214
3.0,6,X,289
2.0,4,X,257
2.3,4,X,270
3.7,6,X,297
2.0,4,X,250
3.5,6,X,314
3.0,6,Z,324
3.0,6,Z,330
3.8,8,Z,360
2.2,4,D,227
2.0,4,Z,192
2.0,4,Z,201
4.0,8,Z,282
4.0,8,Z,277
4.0,8,Z,299
4.0,8,Z,396
3.0,6,Z,297
4.7,8,Z,370
4.0,8,Z,323
6.0,12,Z,337
5.5,8,Z,303
3.0,6,Z,213
4.0,8,Z,378
2.0,4,Z,234
3.0,6,Z,312
4.0,8,Z,286
1.2,3,X,143
1.2,3,X,151
1.2,3,X,148
1.2,3,X,153
2.5,4,X,174
2.0,4,X,190
5.6,8,X,364
4.0,6,X,299
3.8,6,Z,295
3.5,6,Z,233
1.8,4,X,183
3.8,6,Z,315
4.0,6,Z,335
4.0,6,Z,350
2.5,4,Z,231
2.9,6,Z,275
4.0,8,Z,329
2.0,4,Z,264
2.9,6,Z,261
2.9,6,Z,273
4.0,8,Z,295
5.7,8,X,320
5.7,8,X,290
5.7,8,X,325
6.7,12,Z,382
3.5,6,X,220
2.0,4,X,157
1.8,4,X,109
2.5,4,X,140
1.4,4,X,178
2.9,6,Z,271
2.9,6,Z,288
4.0,8,Z,270
4.0,8,Z,333
2.0,4,X,182
4.0,8,Z,308
2.5,5,Z,243
2.9,6,Z,255
4.0,8,Z,339
6.0,12,Z,401
6.0,12,Z,364
6.0,12,Z,373
4.4,8,Z,290
3.0,6,Z,290
6.6,12,Z,354
3.0,6,Z,339
4.4,8,Z,302
4.4,8,Z,318
1.2,3,X,198
1.3,3,X,199
3.6,6,X,255
2.7,4,Z,232
2.7,4,Z,238
2.7,4,Z,234
3.0,6,Z,268
3.6,6,X,270
2.5,4,X,238
6.2,8,Z,282
6.2,8,Z,296
2.8,4,D,284
3.6,6,E,246
1.5,4,X,189
2.7,4,X,262
4.3,6,X,318
5.3,8,E,326
5.3,8,X,286
2.7,4,X,280
3.0,6,D,252
4.3,6,X,331
4.3,6,X,349
5.3,8,X,331
5.3,8,E,342
5.3,8,X,354
5.3,8,X,296
5.3,8,X,337
5.3,8,E,319
6.2,8,Z,343
6.4,8,Z,305
6.2,8,Z,358
1.0,3,X,197
1.5,3,X,185
1.5,3,X,196
3.3,6,X,225
3.3,6,X,254
3.3,6,E,245
5.0,8,X,297
5.0,8,E,294
5.0,8,X,319
3.3,6,X,274
3.3,6,E,265
3.5,6,X,304
5.0,8,X,317
5.0,8,E,296
3.5,6,Z,393
2.3,4,X,252
5.2,8,Z,342
5.2,8,Z,392
3.5,6,X,340
3.5,6,E,316
3.5,6,X,352
3.5,6,E,328
3.3,6,Z,284
3.3,6,Z,280
3.0,6,D,245
5.3,8,X,288
5.3,8,X,344
5.3,8,E,325
1.5,4,X,202
1.5,4,Z,183
1.5,4,Z,172
1.5,4,X,180
1.5,4,X,115
1.6,4,X,160
1.6,4,X,168
1.6,4,X,99
3.8,6,X,250
3.8,6,X,265
2.0,4,X,255
2.4,4,X,241
5.6,8,Z,360
5.0,8,Z,303
5.0,8,Z,299
3.6,6,X,296
3.0,6,D,255
1.6,4,X,190
2.0,4,X,169
1.6,4,X,151
1.6,4,X,167
3.3,6,X,261
3.8,6,X,264
6.5,12,Z,485
2.0,4,Z,266
2.0,4,Z,262
5.0,8,Z,336
2.0,4,Z,245
5.0,8,Z,318
3.5,6,X,213
4.6,8,Z,337
3.4,6,Z,262
5.7,8,Z,395
5.0,8,Z,285
3.0,6,X,280
3.5,6,X,315
1.5,3,Z,200
3.8,6,X,273
3.8,6,X,287
2.0,4,X,171
5.6,8,Z,313
1.6,4,X,158
2.9,6,Z,278
3.0,6,D,243
5.7,8,X,299
6.7,12,Z,386
6.6,12,Z,400
6.6,12,Z,387
2.4,4,X,213
2.5,4,Z,297
4.0,6,X,321
2.5,4,X,197
1.8,4,X,165
2.0,4,X,158
1.8,4,X,106
3.0,6,Z,208
2.5,4,X,158
2.5,4,X,156
5.7,8,X,385
5.7,8,X,381
2.0,4,X,273
